Quiet	Touchy	Sociable	Calm	Unsociable	Restless	Outgoing	Even-tempered	Reserved	Aggressive	Talkative	Reliable	Pessimistic	Excitable	Responsive	Controlled	Sober	Changeable	Easy-Going	Peaceful	Rigid	Impulsive	Lively	Thoughtful	Anxious	Optimistic	Carefree	Careful	Moody	Active	Leadership	Passive
1	0	0	1	0	0	0	1	0	0	0	1	0	0	1	1	1	0	0	1	0	0	1	1	0	0	0	0	0	0	1	0
0	0	1	1	0	0	0	1	1	0	1	1	0	1	1	1	1	0	1	1	0	0	1	1	0	1	0	1	0	1	1	0
0	1	1	0	0	0	1	1	0	0	1	1	0	1	1	1	0	1	1	1	0	0	1	1	0	1	0	0	1	1	0	0
1	1	0	1	1	0	0	1	1	0	1	1	0	0	1	1	1	0	0	1	1	1	0	1	1	1	0	1	0	0	0	1
0	1	0	0	0	0	1	0	1	0	1	1	0	1	0	0	1	1	0	1	0	1	0	1	1	1	0	1	1	0	1	0
1	0	1	1	0	0	0	1	1	0	1	0	0	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	0	0	1
1	1	1	0	0	0	1	1	1	0	1	1	1	0	1	1	0	1	0	1	1	0	1	1	1	0	0	1	0	1	0	0
1	0	1	1	0	1	0	1	1	0	0	1	0	0	1	0	1	0	0	1	0	0	0	1	0	1	0	1	0	1	0	0
1	1	0	1	1	0	0	1	1	0	0	1	1	0	1	1	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1
1	0	0	1	1	0	1	1	0	0	0	1	0	1	1	1	1	0	1	1	0	0	0	1	0	1	0	1	0	0	0	1
0	1	0	1	1	1	0	0	1	0	0	1	1	0	1	1	1	0	0	1	0	0	0	1	1	0	0	1	1	1	0	1
1	0	1	1	0	0	0	1	0	0	0	1	0	0	1	1	1	0	1	1	1	0	1	1	0	1	0	1	0	1	1	0
0	0	1	1	0	1	0	1	0	0	1	1	0	0	1	1	1	1	1	1	0	0	1	1	1	1	0	1	0	1	0	0
0	0	1	1	0	1	0	1	0	0	1	1	0	1	1	1	1	0	0	0	1	0	1	1	1	1	0	1	0	1	1	0
0	0	1	1	0	0	1	1	0	0	1	0	0	0	1	1	1	1	1	1	0	1	1	1	0	1	0	1	0	1	1	0
1	0	0	1	0	0	0	1	1	0	0	1	0	0	1	1	0	0	1	1	1	0	1	1	0	1	1	0	0	0	0	1
1	0	0	1	0	0	0	1	0	0	0	1	0	1	1	1	1	1	1	1	0	0	0	1	1	1	0	1	0	0	0	0
0	0	1	0	0	1	1	0	0	0	1	1	0	1	1	1	0	1	1	1	0	1	1	1	0	1	0	0	0	1	1	0
0	1	0	1	0	0	1	0	0	0	1	1	0	1	1	1	1	0	0	1	0	0	1	1	1	1	0	1	0	1	0	0
1	0	0	0	1	1	0	1	1	0	1	1	1	0	1	1	1	0	0	1	0	0	1	1	1	0	0	1	0	0	0	1
1	1	0	1	0	0	1	0	1	0	1	0	0	0	1	1	1	0	1	1	1	0	0	1	0	1	0	1	1	0	1	0
0	0	1	0	0	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	0
1	0	0	0	1	0	0	1	0	0	0	1	1	0	1	1	1	1	1	1	0	0	0	1	1	0	0	1	0	0	1	0
1	1	0	1	1	0	0	1	1	0	0	1	0	0	1	1	1	0	1	1	1	0	1	1	0	1	0	1	0	0	0	1
1	1	0	1	1	0	0	0	0	0	0	1	1	1	0	1	1	0	1	1	1	0	0	1	1	0	0	1	0	0	0	1
1	0	0	1	1	0	0	1	1	0	1	1	1	0	1	1	1	0	1	1	0	0	0	1	1	0	0	1	0	0	0	0
1	0	0	1	1	1	0	0	1	0	1	1	0	1	1	1	1	0	0	1	0	0	0	1	1	0	0	1	1	1	1	0
0	1	0	1	0	0	0	1	0	0	1	1	0	1	1	1	1	1	0	1	0	0	1	1	1	1	0	1	0	1	1	0
1	0	0	1	1	0	0	1	1	0	0	1	0	0	1	1	1	0	1	1	1	0	0	1	0	1	0	1	0	0	0	1
1	0	0	1	1	0	0	0	1	0	0	1	0	1	0	1	1	0	0	1	1	0	0	1	0	0	0	1	0	1	1	0
1	0	0	1	0	1	0	0	1	1	0	1	1	0	1	1	1	0	1	1	1	0	0	1	1	0	1	0	1	1	1	0
1	0	0	1	1	0	0	1	1	0	0	1	0	0	0	1	1	1	1	1	0	0	0	1	0	1	0	1	0	0	0	0
0	1	1	1	0	0	0	1	0	0	0	1	0	0	1	0	1	0	0	1	1	0	0	1	1	0	0	1	0	1	0	0
0	0	1	1	0	1	0	0	1	0	0	0	0	1	0	0	1	1	1	1	1	0	1	1	0	1	1	0	0	1	0	0
1	0	1	1	0	0	1	1	0	0	0	1	0	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	0	1	0
0	0	1	0	0	0	1	1	1	0	1	1	0	1	1	0	1	0	1	1	1	0	1	1	0	1	1	0	0	0	1	0
0	0	0	0	1	0	0	0	0	0	0	1	1	0	1	0	1	0	1	0	1	0	0	1	0	0	0	1	1	1	0	0
1	0	1	1	0	1	1	1	1	0	0	1	0	0	1	1	1	0	1	0	0	0	1	1	1	1	0	0	0	1	1	0
0	0	1	0	0	1	0	0	1	0	1	1	0	1	0	1	0	1	0	0	0	1	1	1	0	1	0	0	1	1	1	0
1	0	0	1	0	0	0	1	1	0	0	1	0	1	1	1	1	0	0	1	1	0	0	1	1	0	0	1	0	0	0	1
0	0	1	0	0	1	1	0	0	0	1	1	1	1	1	0	0	1	0	0	1	1	1	1	1	0	0	1	1	1	0	0
1	0	1	1	0	0	0	1	0	0	1	1	0	1	1	1	1	0	0	1	0	0	1	0	0	1	1	1	0	1	0	0
0	1	0	1	1	1	0	1	0	0	1	1	1	0	1	0	1	0	0	1	0	0	1	1	0	0	0	1	0	0	0	1
1	0	0	1	1	0	0	1	1	0	0	1	1	0	1	1	1	0	1	1	1	0	0	1	0	0	0	1	0	0	0	1
1	1	0	1	1	0	0	1	1	0	0	0	0	0	0	1	1	0	0	1	1	0	0	1	0	0	0	1	0	1	0	1
0	0	1	0	0	0	1	1	0	0	1	1	0	1	1	0	1	0	0	1	1	0	1	1	1	1	0	1	1	1	1	0
1	0	0	1	1	0	0	1	0	0	0	1	0	1	1	1	1	0	1	1	1	0	0	1	0	1	1	0	0	1	0	0
1	1	0	1	1	0	0	1	0	0	0	1	1	0	0	1	1	1	1	1	0	0	0	1	0	0	0	1	1	0	0	0
0	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	0	1	1	0
1	1	1	0	0	0	1	0	1	1	1	0	1	1	1	1	1	0	1	1	0	0	1	1	1	0	0	0	1	1	0	0
1	1	0	1	0	1	0	1	1	0	0	1	1	1	0	1	1	0	0	1	1	0	0	1	0	0	0	1	1	1	1	0
1	0	0	1	0	0	0	1	0	0	1	1	0	0	0	1	1	1	1	1	1	0	0	1	0	1	0	1	0	1	1	1
0	0	1	0	0	1	1	1	0	0	1	1	0	0	0	1	1	0	0	0	1	1	0	1	0	1	0	0	0	1	1	0
1	1	1	0	0	0	1	0	1	1	1	1	1	0	1	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	1	0
0	1	1	1	0	0	0	1	0	0	0	1	0	0	1	0	1	0	0	1	1	0	0	1	1	0	0	1	0	1	0	0
0	1	1	1	0	0	0	1	0	0	0	1	0	0	1	0	1	0	0	1	1	0	0	1	1	0	0	1	0	1	0	0
1	0	0	1	1	1	0	1	1	1	0	0	1	1	0	1	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1
1	1	1	1	0	1	0	0	1	1	1	0	0	1	1	0	1	1	0	0	1	1	1	1	1	0	0	1	1	1	1	0
1	0	1	1	0	0	0	1	0	0	0	1	0	1	1	1	0	0	1	1	1	0	1	1	1	1	0	1	0	1	1	0
1	0	1	1	0	1	0	1	1	0	0	1	0	1	1	1	1	0	1	1	1	0	0	1	1	1	0	1	1	1	0	0
1	0	0	0	1	1	0	0	1	1	0	1	1	1	1	1	1	1	0	0	1	0	0	1	1	0	0	1	0	1	0	0
1	1	0	1	0	1	1	1	1	0	0	1	1	0	1	0	1	0	1	1	1	1	1	1	1	1	0	1	0	1	0	0
1	0	1	1	0	0	1	1	0	1	0	1	0	0	1	1	1	1	1	1	1	0	1	1	0	1	0	1	1	1	0	0
0	1	1	0	0	1	1	1	0	0	1	1	0	1	0	1	0	0	1	0	1	0	1	1	0	1	1	0	0	1	1	0
0	0	1	0	0	0	1	1	0	0	1	1	1	0	1	1	0	1	1	0	0	0	1	1	0	0	0	1	1	0	0	0
1	0	0	1	0	1	0	1	1	0	1	1	1	0	1	1	1	0	1	1	1	0	0	1	0	0	0	1	0	0	1	1
0	0	1	0	0	1	1	0	0	0	1	1	0	1	1	1	0	1	1	0	0	0	1	1	0	1	1	1	1	1	0	0
1	0	1	1	0	1	1	1	0	0	1	1	0	1	1	1	1	1	1	1	0	0	1	1	0	1	0	1	0	1	0	0
0	0	0	1	0	0	1	1	0	0	1	1	1	1	1	1	1	0	1	1	0	0	0	1	0	1	0	1	0	0	1	0
0	0	1	0	0	1	1	1	1	0	1	1	0	1	1	1	1	0	1	1	1	0	1	1	0	1	0	1	0	1	1	0
1	0	0	1	1	1	0	1	1	0	1	1	1	1	1	1	0	0	0	1	1	1	0	1	1	0	0	1	1	1	1	0
0	0	1	0	0	1	0	0	1	0	1	1	1	1	0	0	0	1	0	1	0	1	1	1	1	0	0	1	0	1	0	0
1	1	1	0	0	0	1	0	1	0	1	1	0	1	1	1	1	0	0	1	1	1	1	1	1	1	0	1	1	1	1	0
0	0	1	1	0	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	0	0	1	1	0	0	0	1	0	1	1	0
1	0	0	1	1	1	0	1	0	0	0	1	0	1	0	1	1	1	1	1	0	1	1	1	0	1	1	1	0	1	0	0
1	0	1	1	0	1	0	1	1	0	0	1	1	1	1	1	1	0	1	1	0	0	0	1	0	0	0	1	0	1	1	0
1	0	1	1	0	0	0	1	0	0	0	1	1	1	1	1	1	1	1	1	1	0	0	1	0	1	0	1	0	0	1	0
1	0	1	1	0	1	0	0	1	0	0	1	0	0	0	1	1	1	0	0	0	0	1	0	0	1	0	1	1	1	0	0
1	0	0	1	0	0	0	1	1	0	0	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	0	0	0	1
1	0	1	1	0	0	0	1	0	0	1	1	0	1	1	1	1	0	1	1	1	0	1	1	0	1	0	1	0	1	1	0
1	0	1	1	1	1	0	0	1	0	0	1	0	1	0	1	1	0	1	0	0	1	1	1	1	1	0	1	1	1	0	0
